 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  21. 4.    Time:  10:15:20
 Units: L = cm   , T = days , M = mmol 


 Time:        0.0000


 Node      Depth      Head Moisture       K          C         Flux        Sink         Kappa   v/KsTop   Temp
           [L]        [L]    [-]        [L/T]      [1/L]      [L/T]        [1/T]         [-]      [-]      [C]

  46   -45.0000  -68700.266 0.0634   0.2265E-06  0.2331E-06  0.8773E-03  0.3655E-03      -1   0.251E-05   20.00
  47   -46.0000  -64976.840 0.0643   0.2640E-06  0.2507E-06  0.1009E-02  0.3290E-03      -1   0.288E-05   20.00
  48   -47.0000  -61141.426 0.0653   0.3121E-06  0.2713E-06  0.1155E-02  0.2979E-03      -1   0.330E-05   20.00
  49   -48.0000  -57595.137 0.0663   0.3678E-06  0.2932E-06  0.1191E-02  0.2699E-03      -1   0.340E-05   20.00
  50   -49.0000  -54628.785 0.0672   0.4254E-06  0.3140E-06  0.1149E-02  0.2439E-03      -1   0.328E-05   20.00
  51   -50.0000  -52156.664 0.0680   0.4832E-06  0.3335E-06  0.1084E-02  0.2222E-03      -1   0.309E-05   20.00
  52   -51.0000  -50111.602 0.0687   0.5393E-06  0.3513E-06  0.1076E-02  0.2057E-03      -1   0.307E-05   20.00
  53   -52.0000  -48169.520 0.0694   0.6012E-06  0.3698E-06  0.9682E-03  0.1969E-03      -1   0.276E-05   20.00
  54   -53.0000  -46841.863 0.0699   0.6493E-06  0.3835E-06  0.8466E-03  0.1889E-03      -1   0.242E-05   20.00
  55   -54.0000  -45561.371 0.0704   0.7007E-06  0.3976E-06  0.7898E-03  0.1860E-03      -1   0.226E-05   20.00
  56   -55.0000  -44569.551 0.0708   0.7444E-06  0.4091E-06  0.6338E-03  0.1843E-03      -1   0.181E-05   20.00
  57   -56.0000  -43844.055 0.0711   0.7788E-06  0.4179E-06  0.4633E-03  0.1828E-03      -1   0.132E-05   20.00
  58   -57.0000  -43368.871 0.0713   0.8024E-06  0.4239E-06  0.3779E-03  0.1807E-03      -1   0.108E-05   20.00
  59   -58.0000  -42900.371 0.0715   0.8268E-06  0.4299E-06  0.2865E-03  0.1800E-03      -1   0.818E-06   20.00
  60   -59.0000  -42668.594 0.0716   0.8392E-06  0.4330E-06  0.1930E-03  0.1776E-03      -1   0.551E-06   20.00
  61   -60.0000  -42438.438 0.0717   0.8517E-06  0.4360E-06  0.1937E-03  0.0000E+00      -1   0.553E-06   20.00
end
